WO,Date,MatCode,Value,Contractor,GL.Account
80011948,01/17/19,11206904,6.6,,2699599215
70005370,01/17/19,11201086,293.7,,2699599215
70005353,01/17/19,91100175,0,,
70005353,01/17/19,91101558,0,,
70005321,01/17/19,11205797,56.8,,2699599215
80011961,01/17/19,91100225,0,,
70004505,01/16/15,11206942,39,,2699599215
70004505,01/16/15,11207546,33.4,,2699599215
70004505,01/16/15,11206904,6.6,,2699599215
70004505,01/16/15,91101775,0,,
70005327,01/17/19,11203303,54.8,,2699599215
80006627,01/16/15,11204645,105,,2699599215
70004503,01/16/15,11206942,13,,2699599215
70004116,01/08/14,11206939,15.8,,2699599215
70004099,01/08/14,11206939,18.9,,2699599215
70004099,01/08/14,91101931,0,,
80011947,01/18/19,11206903,9,,2699599215
80011947,01/18/19,11206905,10.6,,2699599215
80011947,01/18/19,11206934,10.8,,2699599215
70004613,01/16/15,91101355,0,,
70004596,01/16/15,11205298,1217.4,,2699599215
70005325,01/16/19,11201454,41.2,,2699599215
80011951,01/16/19,11206904,3.3,,2699599215
80011951,01/16/19,91100155,0,,
70004151,01/08/14,91101775,0,,
70004121,01/09/14,11206904,6.6,,2699599215
70004121,01/09/14,11206918,4.2,,2699599215
80011951,01/16/19,11206904,6.6,,2699599215
70004151,01/09/14,11207546,35,,2699599215
70004107,01/09/14,11206904,3.3,,2699599215
70004135,01/09/14,11207001,9,,2699599215
70004099,01/09/14,91101931,0,,
70004099,01/09/14,11206937,6.8,,2699599215
80011951,01/16/19,11206904,3.3,,2699599215
80011169,01/16/18,11202836,78.1,,2699599215
80011107,01/16/18,91101928,0,,
80011107,01/16/18,11207385,4.7,,2699599215
80011107,01/16/18,11206947,2.1,,2699599215
70005180,01/16/18,11200724,44.5,,2699599215
70005180,01/16/18,91101365,0,,
70005178,01/16/18,11203237,324.2,,2699599215
70005176,01/16/18,11206528,390,,2699599215
70005176,01/16/18,11203237,648.4,,2699599215
70005235,01/18/18,91100021,0,,
70004151,01/09/14,11207546,35,,2699599215
70004151,01/09/14,91101775,0,,
70004119,01/09/14,11207238,399.1,,2699599215
70004124,01/10/14,11201071,605.1,,2699599215
70004253,01/10/14,11201946,628.9,,2699599215
70004153,01/10/14,11206942,26,,2699599215
70005344,01/21/19,11206908,16.2,,2699599215
70004095,01/14/14,11206942,52,,2699599215
70004095,01/14/14,11206913,8.9,,2699599215
70004095,01/14/14,11207546,35,,2699599215
70004095,01/14/14,91101775,0,,
70004151,01/14/14,11207546,35,,2699599215
70004992,01/16/17,11206921,8.6,,2699599215
70004990,01/16/17,11200477,19.1,,2699599215
